Thread-10,Thread-20,Thread-30,Thread-40
779.783033,845.761088,863.825659,1277.917710
798.060394,822.748672,855.191311,902.224977
804.976040,1163.257353,1184.700774,1246.657400
811.224755,842.565748,884.425879,561.481683
832.003514,839.403621,871.196248,570.666161
816.856654,855.852964,1232.100658,583.815808
813.316926,42.022967,896.805489,580.899895
827.575477,839.521305,891.568349,578.824292
1116.512551,859.840792,1235.193122,574.642960
827.993465,1177.664879,896.483900,698.873556
